Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Chla_ugL,Flow_cms,Method,connectivity,overflow,DIC_mgL,DC_mgL,DN_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC,Flag_Chla,Flag_Flow,Flag_DIC,Flag_DC,Flag_DN
BVR,1,2019-04-29T12:00:00Z,0.1,117,5.1,4,3,1,3.8,2.0048,NA,NA,1,0,NA,NA,NA,3,0,3,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-04-29T12:00:00Z,0.1,166.5,4.9,5,0,1,3.3,1.66112,NA,NA,1,0,NA,NA,NA,3,0,0,43,3,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-04-29T12:00:00Z,0.1,186,6.2,7,0,2,2.7,1.83296,NA,NA,1,0,NA,NA,NA,3,0,0,43,3,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-04-29T12:00:00Z,0.1,132,4.8,6,3,0,1.6,2.69216,NA,NA,1,0,NA,NA,NA,3,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-04-29T12:00:00Z,0.1,126,3.5,7,3,4,3.5,2.69216,NA,NA,1,0,NA,NA,NA,73,73,0,0,0,7,0,NA,NA,NA,NA
BVR,100,2019-04-29T12:00:00Z,0.1,99,28.9,19,3,5,1.2,0.2864,0.01761,F,1,0,NA,NA,NA,0,3,3,0,0,0,0,0,FALSE,FALSE,FALSE
BVR,200,2019-04-29T12:00:00Z,0.1,99,8.6,24,8,1,0.5,1.336533333,0.00957,F,1,0,NA,NA,NA,0,0,3,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,1,2019-04-29T12:00:00Z,0.1,145.5,12.5,10,3,3,3.4,1.31744,0.1918335,F,1,1,NA,NA,NA,3,3,3,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,20,2019-04-29T12:00:00Z,0.1,175.5,6.9,3,0,1,2.1,1.83296,NA,NA,1,0,NA,NA,NA,3,0,3,43,3,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-04-29T12:00:00Z,0.1,121.5,6.2,3,0,1,2.2,2.0048,NA,NA,1,0,NA,NA,NA,3,0,3,43,3,0,0,NA,FALSE,FALSE,FALSE
FCR,45,2019-04-29T12:00:00Z,0.1,160.5,13.1,3,0,1,4.1,2.0048,NA,NA,1,0,NA,NA,NA,3,3,3,43,3,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-04-29T12:00:00Z,0.1,265.8,12.8,12,3,3,3.1,1.83296,NA,NA,1,0,NA,NA,NA,7,73,3,0,0,7,0,NA,NA,NA,NA
FCR,99,2019-04-29T12:00:00Z,0.1,130.5,9.6,6,20,6,2.4,0.654628571,0.12060936,F,1,0,NA,NA,NA,3,0,7,73,7,7,0,0,NA,NA,NA
FCR,100,2019-04-29T12:00:00Z,0.1,213,22,7,3,1,3,1.1456,0.23158704,F,1,0,NA,NA,NA,0,3,0,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,101,2019-04-29T12:00:00Z,0.1,111,5.8,6,3,2,1.9,1.48928,0.14133576,F,1,0,NA,NA,NA,3,0,0,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,102,2019-04-29T12:00:00Z,0.1,114,4.2,2,3,1,2.1,2.0048,0.1008126,F,1,0,NA,NA,NA,3,0,3,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,200,2019-04-29T12:00:00Z,0.1,318,64.7,22,58,3,1.4,0.654628571,0.03681984,F,1,0,NA,NA,NA,0,0,3,0,0,0,0,0,FALSE,FALSE,FALSE
BVR,1,2019-05-30T12:00:00Z,0.1,121.5,2.1,5,3,1,2.8,1.03104,NA,NA,1,0,NA,NA,NA,3,3,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-05-30T12:00:00Z,0.1,190.5,4.6,7,0,1,3.2,1.54656,NA,NA,1,0,NA,NA,NA,3,0,0,43,3,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-05-30T12:00:00Z,0.1,213,5.8,2,3,1,2.1,1.7184,NA,NA,1,0,NA,NA,NA,0,0,3,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-05-30T12:00:00Z,0.1,118.5,4,6,3,2,1.9,1.03104,NA,NA,1,0,NA,NA,NA,3,3,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-05-30T12:00:00Z,0.1,176.2,3.5,6,0,0,3.4,1.37472,NA,NA,1,0,NA,NA,NA,73,73,0,43,3,7,0,NA,NA,NA,NA
BVR,100,2019-05-30T12:00:00Z,0.1,162,49.6,22,3,5,1,0.51552,0.002615699,S,1,0,NA,NA,NA,3,0,3,0,0,0,0,0,FALSE,FALSE,FALSE
